inchikey,substance_name,chemont_label,chemont_labels
ACMXQHFNODYQAT-UHFFFAOYSA-N,Cyflufenamid,Trifluoromethylbenzenes,Trifluoromethylbenzenes|Benzene and substituted derivatives|Benzenoids|Organic compounds
ACQFOMVLRAEQCK-UHFFFAOYSA-N,Ethyl 2-hydroxy-3-methylbut-3-enoate,Fatty acid esters,Fatty acid esters
ACQZVWGQFXXTIX-UHFFFAOYSA-M,1-ethyl-1-methylmorpholinium bromide,Morpholines,Morpholines
ACRCGKKNPOZIPG-UHFFFAOYSA-N,"3,9-dimethyl-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5]undecane 3,9-dioxide",Dialkyl alkylphosphonates,Dialkyl alkylphosphonates|Phosphonic acid diesters|Organic phosphonic acids and derivatives
ACRNSUGLVQJCOM-UHFFFAOYSA-K,"2-ethylhexyl 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-oxoethyl]thio]-4-methyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate",Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives|Carboxylic acids and derivatives
ACRNSUGLVQJCOM-UHFFFAOYSA-K,"2-ethylhexyl 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-xoethyl]thio]-4-methyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate",Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives|Carboxylic acids and derivatives
ACRNSUGLVQJCOM-UHFFFAOYSA-K,monomethyltin tris(ethylhexyl mercaptoacetate),Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives|Carboxylic acids and derivatives
ACRQLFSHISNWRY-UHFFFAOYSA-N,"diphenyl ether, pentabromo derivative pentabromodiphenyl ether",Bromodiphenyl ethers,Bromodiphenyl ethers|Diphenylethers|Benzene and substituted derivatives|Benzenoids|Organic compounds
ACSWJKPZXNIVMY-UHFFFAOYSA-N,4-[4-({[4-chloro-3-(trifluoromethyl)phenyl]carbamoyl}amino)-3-fluorophenoxy]-N-methylpyridine-2-carboxamide hydrochloride,Diarylethers,Diarylethers
ACVNYUMGXUDACR-UHFFFAOYSA-N,"α,2,2,6-tetramethylcyclohexene-1-butyraldehyde",Monocyclic monoterpenoids,Monocyclic monoterpenoids|Monoterpenoids
ACVYVLVWPXVTIT-UHFFFAOYSA-N,Phosphinic acid,Other non-metal oxides,Other non-metal oxides
ACVYVLVWPXVTIT-UHFFFAOYSA-N,hypophosphorous acid,Other non-metal oxides,Other non-metal oxides
ACWBQPMHZXGDFX-QFIPXVFZSA-N,"(2S)-3-methyl-2-(N-{[2'-(1H-1,2,3,4-tetrazol-5-yl)-[1,1-biphenyl]-4-yl]methyl}pentanamido)butanoic acid",Valine and derivatives,Valine and derivatives|Alpha amino acids and derivatives
ACWZRVQXLIRSDF-UHFFFAOYSA-N,5-(4-bromo-2-fluoroanilino)-4-fluoro-N-(2-hydroxyethoxy)-1-methyl-1H-benzimidazole-6-carboxamide,3-halobenzoic acids and derivatives,3-halobenzoic acids and derivatives
ACXLBHHUHSJENU-CMDGGOBGSA-N,E-ethyl-4-oxo-4-phenylcrotonate,Benzoyl derivatives,Benzoyl derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
ACXLBHHUHSJENU-CMDGGOBGSA-N,Ethylbenzoylacrylate (raw),Benzoyl derivatives,Benzoyl derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
ACYBVNYNIZTUIL-UHFFFAOYSA-N,N-benzylethylenediamine,Phenylmethylamines,Phenylmethylamines|Benzene and substituted derivatives|Benzenoids|Organic compounds
ACYLUAGCBGTEJF-UHFFFAOYSA-N,4-chloro-3-nitro-5-sulphamoylbenzoic acid,Nitrobenzoic acids and derivatives,Nitrobenzoic acids and derivatives|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
ACZGCWSMSTYWDQ-UHFFFAOYSA-N,(3H)-benzofuran-2-one,Benzofurans,Benzofurans
ADAKRBAJFHTIEW-UHFFFAOYSA-N,4-chlorophenyl isocyanate,Chlorobenzenes,Chlorobenzenes
ADAKRBAJFHTIEW-UHFFFAOYSA-N,4-chlorophenylisocyanate,Chlorobenzenes,Chlorobenzenes
ADANNTOYRVPQLJ-UHFFFAOYSA-N,Tetradecamethylhexasiloxane,Siloxanes,Siloxanes
ADBPXBUMJVOHEH-UHFFFAOYSA-N,3-[3-(diethylcarbamoyl)pyridinium-1-yl]propane-1-sulfonate,Nicotinamides,Nicotinamides|Pyridinecarboxamides|Pyridinecarboxylic acids and derivatives|Pyridines and derivatives
ADCBKYIHQQCFHE-UHFFFAOYSA-N,"1,3-dimethyl-1,3-diphenylurea",N-phenylureas,N-phenylureas|Benzene and substituted derivatives|Benzenoids|Organic compounds
ADCUEPOHPCPMCE-UHFFFAOYSA-N,4-cyanobenzoic acid,Benzoic acids,Benzoic acids|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
ADCWDMYESTYBBN-UHFFFAOYSA-N,"2,2'-[[3-methyl-4-[(4-nitrophenyl)azo]phenyl]imino]bisethanol",Azobenzenes,Azobenzenes
ADCYRBXQAJXJTD-UHFFFAOYSA-N,4'-chloropropiophenone,Alkyl-phenylketones,Alkyl-phenylketones
ADDQHLREJDZPMT-CQSZACIVSA-N,Metamifop,Diarylethers,Diarylethers
ADEHPEDTWPPVHI-UHFFFAOYSA-N,"2-[4-[(4-hydroxyphenyl)sulfonyl]phenoxy]-4,4-dimethyl-N-[5-[(methylsulfonyl)amino]-2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]phenyl]-3-oxopentanamide",Diphenylethers,Diphenylethers|Benzene and substituted derivatives|Benzenoids|Organic compounds
ADFVPAPYAFZEQX-UHFFFAOYSA-N,"6,8-Difluoro-1-(methylamino)-7-(4-methylpiperazin-1-yl)-4-oxo-1,4-dihydroquinoline-3-carboxylic acid",Quinoline carboxylic acids,Quinoline carboxylic acids|Quinolines and derivatives
ADGJZVKOKVENDN-UHFFFAOYSA-N,N-(butoxymethyl)methacrylamide,Secondary carboxylic acid amides,Secondary carboxylic acid amides
ADGNAMGSVYAHHD-UHFFFAOYSA-N,nickel sulfide,Transition metal sulfides,Transition metal sulfides
ADHAFJLXGIAZAN-UHFFFAOYSA-N,"3,3'-[(2,5-dichloro-p-phenylene)bis[imino(1-acetyl-2-oxoethylene)azo]]bis[4-chloro-N-(5-chloro-o-tolyl)benzamide]",Alpha amino acid amides,Alpha amino acid amides|Alpha amino acids and derivatives
ADIXYOBIQIMPEH-UHFFFAOYSA-N,huntite,Organic carbonic acids,Organic carbonic acids|Organic carbonic acids and derivatives
ADKFZTIPPMZAKW-UHFFFAOYSA-L,Disodium 2-[4-[[1-[[(2-methoxy-5-methyl-4-sulphonatophenyl)amino]carbonyl]-2-oxopropyl]azo]phenyl]-6-methylbenzothiazole-7-sulphonate,Alpha amino acid amides,Alpha amino acid amides|Alpha amino acids and derivatives
ADMGELSKHBMYFS-UHFFFAOYSA-N,"Bis(O,O-diisopropyl dithiophosphate)bis(cyclohexylamine) zinc",Cyclohexylamines,Cyclohexylamines|Organonitrogen compounds
ADMXOBZMMQYVKF-UHFFFAOYSA-J,"3,7-bis(diethylamino)phenoxazin-5-ium tetrachlorozincate (2:1)",Phenoxazines,Phenoxazines|Benzoxazines
ADNQKFLRLADIEU-UHFFFAOYSA-N,5-hept-6-enyloxolan-2-one,Gamma butyrolactones,Gamma butyrolactones|Lactones
ADPMHRDERZTFIN-UHFFFAOYSA-N,"2,4-diazatetracyclo[12.4.0.02,6.07,12]octadeca-1(18),3,7,9,11,14,16-heptaen-3-amine;hydrobromide",Dibenzazepines,Dibenzazepines|Benzazepines
ADPUQRRLAAPXGT-UHFFFAOYSA-M,Sodium 2-formylbenzenesulphonate,Benzenesulfonic acids and derivatives,Benzenesulfonic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
ADQFOQFNQXFZLH-UHFFFAOYSA-N,1-(4-ethoxyphenylethynyl)-trans-4-(4-propylcyclohexyl)benzene,Phenol ethers,Phenol ethers|Benzenoids|Organic compounds
ADSJGMIRAPETOP-UHFFFAOYSA-N,1-Ethyl-3-methylimidazolium benzoate,Benzoic acids,Benzoic acids|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
ADTJISSNQWNGFP-UHFFFAOYSA-N,"Dodecylbenzenesulphonic acid, compound with isopropylamine (1:1)",Benzenesulfonic acids and derivatives,Benzenesulfonic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
ADTJPOBHAXXXFS-UHFFFAOYSA-N,N-[3-(dimethylamino)propyl]acrylamide,Acrylic acids and derivatives,Acrylic acids and derivatives|Carboxylic acids and derivatives
ADUMIBSPEHFSLA-UHFFFAOYSA-N,"4,4',4''-methylidynetrianiline",Triphenyl compounds,Triphenyl compounds|Benzenoids|Organic compounds
ADUODNZKKNUWBZ-UHFFFAOYSA-N,"1,4-phenylene bis((4-hydroxyphenyl)methanone)",Benzophenones,Benzophenones|Benzene and substituted derivatives|Benzenoids|Organic compounds
ADVORQMAWLEPOI-UHFFFAOYSA-N,"Oxobis(pentane-2,4-dionato-O,O')titanium",Enones,Enones
ADZWSOLPGZMUMY-UHFFFAOYSA-M,Silver bromide,Transition metal bromides,Transition metal bromides
AEDVAGWYAKIOIM-UHFFFAOYSA-N,4-Hydroxy-3-methoxy-5-nitro-benzoic acid,Nitrobenzoic acids and derivatives,Nitrobenzoic acids and derivatives|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
AEEGJNJYJCGJFZ-LURJTMIESA-N,Isobutyl (S)-2-chloropropionate,Alpha-halocarboxylic acid derivatives,Alpha-halocarboxylic acid derivatives
AEFVYXKODUCZPV-MSCBHBOZSA-N,"[(1S,2S,4R,6S,8S,11R,12S,14R,16S,17S)-2,17-dimethyl-5,15-dioxahexacyclo[9.8.0.02,8.04,6.012,17.014,16]nonadecan-16-yl] acetate",Steroid esters,Steroid esters|Steroids and steroid derivatives
AEHJMNVBLRLZKK-UHFFFAOYSA-N,Pyridalyl,Dichlorobenzenes,Dichlorobenzenes|Chlorobenzenes
AEHJMNVBLRLZKK-UHFFFAOYSA-N,"pyridalyl (ISO); 2,6-dichloro-4-(3,3-dichloroallyloxy)phenyl 3-[5-(trifluoromethyl)-2-pyridyloxy]propyl ether",Dichlorobenzenes,Dichlorobenzenes|Chlorobenzenes
AEIAMRMQKCPGJR-QTNFYWBSSA-N,"(2S)-propane-1,2-diamine dihydrochloride",Monoalkylamines,Monoalkylamines
AEIJTFQOBWATKX-UHFFFAOYSA-N,"Octane-1,2-diol",Fatty alcohols,Fatty alcohols
AEILLAXRDHDKDY-UHFFFAOYSA-N,Bromomethylcyclopropane,Organobromides,Organobromides
AEKIUMMMGNCKSL-FQKVVJEISA-N,"21a-Homo-6 alpha,7 alpha,15 alpha,16 alpha-tetrahydro-bis-3' H-cyclopropa[1',2':6,7;1'',2'':15,16]-5 beta,17 alpha-pregn-20-yne-3 beta,5,17,21a-tetrol",Ynones,Ynones
AEKVBBNGWBBYLL-UHFFFAOYSA-N,4-fluorobenzonitrile,Benzonitriles,Benzonitriles|Benzene and substituted derivatives|Benzenoids|Organic compounds
AEMFNILZOJDQLW-QAGGRKNESA-N,"Androst-4-ene-3,17-dione",Androgens and derivatives,Androgens and derivatives|Androstane steroids|Steroids and steroid derivatives
AEMOLEFTQBMNLQ-DTEWXJGMSA-N,pectin,Glucuronic acid derivatives,Glucuronic acid derivatives|Sugar acids and derivatives
AEMRFAOFKBGASW-UHFFFAOYSA-N,Glycollic acid,Alpha hydroxy acids and derivatives,Alpha hydroxy acids and derivatives
AEMRFAOFKBGASW-UHFFFAOYSA-N,glycolic acid,Alpha hydroxy acids and derivatives,Alpha hydroxy acids and derivatives
AEOMELCUDZBIFY-ZETCQYMHSA-N,3-[(1S)-1-(methylamino)ethyl]phenol,1-hydroxy-4-unsubstituted benzenoids,1-hydroxy-4-unsubstituted benzenoids
AEQFSUDEHCCHBT-UHFFFAOYSA-M,Sodium valproate,Fatty acids and conjugates,Fatty acids and conjugates
AERBNCYCJBRYDG-KSZLIROESA-N,"(2S,3S,4R)-2-aminooctadecane-1,3,4-triol","1,3-aminoalcohols","1,3-aminoalcohols"
AETKQQBRKSELEL-ZHACJKMWSA-N,2'-hydroxychalcone,2'-Hydroxychalcones,2'-Hydroxychalcones
AETSDHMVQHOYPB-UHFFFAOYSA-M,Sodium anisate,P-methoxybenzoic acids and derivatives,P-methoxybenzoic acids and derivatives
AEUORZZHALJMBM-UHFFFAOYSA-N,"adipic acid, dibenzyl ester",Benzyloxycarbonyls,Benzyloxycarbonyls|Benzene and substituted derivatives|Benzenoids|Organic compounds
AEWNSBCPMQKSLN-UHFFFAOYSA-N,"ethyl 5-acetyloxy-1,2-dimethylindole-3-carboxylate",Indolecarboxylic acids and derivatives,Indolecarboxylic acids and derivatives|Indoles and derivatives
AEXMKKGTQYQZCS-UHFFFAOYSA-N,"3,3-dimethylpentane",Branched alkanes,Branched alkanes|Alkanes|Saturated hydrocarbons
AFABGHUZZDYHJO-UHFFFAOYSA-N,2-methylpentane,Branched alkanes,Branched alkanes|Alkanes|Saturated hydrocarbons
AFABGHUZZDYHJO-UHFFFAOYSA-N,hexane (containing < 5 % n-hexane (203-777-6)); 2-methylpentane,Branched alkanes,Branched alkanes|Alkanes|Saturated hydrocarbons
AFABGHUZZDYHJO-UHFFFAOYSA-N,methylpentane,Branched alkanes,Branched alkanes|Alkanes|Saturated hydrocarbons
AFAJYBYVKUTWJK-UHFFFAOYSA-N,"1,2-Ethanediamine, N-(5-methoxy-2-nitrophenyl)-, monohydrochloride",Nitrophenyl ethers,Nitrophenyl ethers|Nitrobenzenes|Benzene and substituted derivatives|Benzenoids|Organic compounds
AFAXOMKIWYLNSJ-UHFFFAOYSA-N,Methyl 5-amino-2-[(methylsulfonyl)oxy]benzoate,Benzoic acid esters,Benzoic acid esters|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
AFBBKYQYNPNMAT-UHFFFAOYSA-N,"1,2,4-triazole-3-thiol",Triazoles,Triazoles
AFBPFSWMIHJQDM-UHFFFAOYSA-N,N-methylaniline,Phenylalkylamines,Phenylalkylamines|Aralkylamines
AFBSBOBDKXETKP-UHFFFAOYSA-N,"5,11-dihydro-11-((4-methyl-1-piperazinyl)acetyl)-6H-pyrido(2,3-b)(1,4)benzodiazepin-6-one monohydrochloride","1,4-benzodiazepines","1,4-benzodiazepines|Benzodiazepines"
AFCAKJKUYFLYFK-UHFFFAOYSA-N,Tetrabutyltin,Tetraalkyltins,Tetraalkyltins
AFCCDDWKHLHPDF-UHFFFAOYSA-M,Metam-sodium,Organic alkali metal salts,Organic alkali metal salts|Organic metal salts|Organic salts|Organic compounds
AFCCDDWKHLHPDF-UHFFFAOYSA-M,metam-sodium (ISO); sodium methyldithiocarbamate,Organic alkali metal salts,Organic alkali metal salts|Organic metal salts|Organic salts|Organic compounds
AFDRCEOKCOUICI-UHFFFAOYSA-N,"2,2,3-trifluoro-3-[1,1,2,2,3,3-hexafluoro-3-(trifluoromethoxy)propoxy]propanoic acid",Alpha-halocarboxylic acids,Alpha-halocarboxylic acids
AFDXODALSZRGIH-QPJJXVBHSA-N,trans-4-methoxycinnamic acid,Cinnamic acids,Cinnamic acids|Cinnamic acids and derivatives
AFEBXVJYLNMAJB-UHFFFAOYSA-N,Hydrazinium nitrate,Non-metal nitrates,Non-metal nitrates
AFFLGGQVNFXPEV-UHFFFAOYSA-N,1-decene,Unsaturated aliphatic hydrocarbons,Unsaturated aliphatic hydrocarbons
AFFLGGQVNFXPEV-UHFFFAOYSA-N,Dec-1-ene,Unsaturated aliphatic hydrocarbons,Unsaturated aliphatic hydrocarbons
AFFPZJFLSDVZBV-UHFFFAOYSA-N,2-(trifluoromethyl)benzenesulfonamide,Benzenesulfonamides,Benzenesulfonamides|Benzene and substituted derivatives|Benzenoids|Organic compounds
AFGBRTKUTJQHIP-ZETCQYMHSA-N,(S)-3-methyl-2-(2-oxotetrahydropyrimidine-1-yl)butyric acid,Valine and derivatives,Valine and derivatives|Alpha amino acids and derivatives
AFGBRTKUTJQHIP-ZETCQYMHSA-N,A-164220.0,Valine and derivatives,Valine and derivatives|Alpha amino acids and derivatives
AFGPCIMUGMJQPD-UHFFFAOYSA-L,"Disodium 4,5-dihydroxynaphthalene-2,7-disulphonate",2-naphthalene sulfonates,2-naphthalene sulfonates
AFHJQYHRLPMKHU-OSYMLPPYSA-N,"(R)-10-β-D-glucopyranosyl-1,8-dihydroxy-3-(hydroxymethyl)anthracen-9(10H)-one",Anthracenes,Anthracenes|Benzenoids|Organic compounds
AFIIBUOYKYSPKB-UHFFFAOYSA-N,Aziprotryne,Methylthio-s-triazines,"Methylthio-s-triazines|1,3,5-triazines"
AFINGIXRSWIXIG-UHFFFAOYSA-N,"3-phenyl-5-(1,1,1-trifluoro-2-{6-hydroxy-5-phenyl-[1,1'-biphenyl]-3-yl}propan-2-yl)-[1,1'-biphenyl]-2-ol",Linear diarylheptanoids,Linear diarylheptanoids
AFJWMGOTLUUGHF-UHFFFAOYSA-N,"3,4,5,6-tetrahydrophthalimide",Isoindolones,Isoindolones
AFMPMSCZPVNPEM-UHFFFAOYSA-N,2-bromobenzonitrile,Benzonitriles,Benzonitriles|Benzene and substituted derivatives|Benzenoids|Organic compounds
AFMZGMJNKXOLEM-JXMROGBWSA-N,"(2E)-3,7-dimethylocta-2,6-dien-1-amine",Acyclic monoterpenoids,Acyclic monoterpenoids|Monoterpenoids
AFNBMGLGYSGFEZ-UHFFFAOYSA-M,Potassium thioacetate,Carboxylic acids and derivatives,Carboxylic acids and derivatives
AFNRRBXCCXDRPS-UHFFFAOYSA-N,Tin sulfide (Sn2S3),Post-transition metal sulfides,Post-transition metal sulfides
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,3-nitrobenzoic acid,Nitrobenzoic acids and derivatives,Nitrobenzoic acids and derivatives|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
