substance_name,entity_type,matchable,is_group,equivalent_node,equivalent_level,relationship_type,confidence,emb_match,emb_score,emb_agrees
"Paraffin waxes and Hydrocarbon waxes, chloro, sulfochlorinated",CAS without structure,TRUE,TRUE,Organohalogen compounds,superclass,subset,medium,NA,NA,FALSE
"Resin acids and Rosin acids, aluminum salts",CAS without structure,TRUE,TRUE,Organic metal salts,class,subset,medium,NA,NA,FALSE
"Benzenesulfonic acid, mono-C9-13-branched alkyl derivs., compds. with isopropylamine",Unclassified,TRUE,TRUE,Organic salts,superclass,subset,medium,NA,NA,FALSE
CK 1169,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"2,4-bis(((2-(dimethylammonio)ethyloxy)carbonyl)phen-2-ylazo)benzene-1,3-diol sulfate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
2-fluoro-4-pentyl-4'-(2-(trans-4-propylcyclohexyl)ethyl)biphenyl,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"1-decene, dimer",CAS without structure,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"Iron, complexes with diazotized 2-amino-5-nitrobenzenesulfonic acid coupled with diazotized 2-amino-4-nitrophenol and resorcinol",CAS without structure,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
Saponification and oxidation product of carnauba wax with acidic sodium dichromate solution esterified with ethylene glycol,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
A mixture of isomers of branched tetracosane,Mixture,TRUE,TRUE,Branched alkanes,subclass,subset,high,NA,NA,FALSE
"Nickel, [29H,31H-phthalocyaninato(2-)-[?]N29,[?]N30,[?]N31,[?]N32]-, sulfo [[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]amino]sulfonyl derivs., sodium salts",CAS without structure,TRUE,TRUE,Phthalocyanines,subclass,subset,high,NA,NA,FALSE
Chromium VI compounds,Substance group,TRUE,TRUE,Inorganic chromium (VI) compounds,class,broader,medium,Inorganic chromium (VI) compounds,0.9324581084968904,TRUE
"1-(2-((2-(2,5-dimethoxyphenyl)-2-hydroxyethyl)amino)-2-oxoethyl)-1,3,5,7-tetraazaadamantan-1-ium chloride",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"potassium 6-methoxy-2-{(S)-[(4-methoxy-3,5-dimethylpyridin-2-yl)methyl]sulfinyl}benzimidazol-1-ide",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
α-[3-(1-oxoprop-2-eny)l-1-oxypropyl]dimethoxysilyloxy-ω-[3(1-oxoprop-2-enyl)-1-oxypropyl]dimethoxysilyl poly(dimethylsiloxane),CAS without structure,TRUE,TRUE,Organic Polymers,superclass,subset,medium,NA,NA,FALSE
"(2S,3S,4S,5S)-2-(acetoxymethyl)-5-(5,6-dichloro-2-(isopropylamino)-1H-benzo[d]imidazol-1-yl)tetrahydrofuran-3,4-diyl diacetate hydrochloride",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
PDS-1709,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Trisodium bis[N,Nη(7-acetamido-5'-nitro-3-sulfonato-naphthalene-2-azobenzene-1,2'-diolato-0',0')]chromate (III)",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Alkenes, C11-12, hydroformylation products, distn. residues",CAS without structure,TRUE,TRUE,Fatty aldehydes,subclass,broader,low,NA,NA,FALSE
"Hexachlorocyclohexanes, including lindane",Unclassified,TRUE,TRUE,Cyclohexyl halides,subclass,subset,medium,NA,NA,FALSE
REAKTIV-BLAU F 66 991 FW,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Phosphoric acid, mono and bis-linear butyl esters, potassium salts",Unclassified,TRUE,TRUE,Organic phosphoric acids and derivatives,superclass,subset,medium,NA,NA,FALSE
"Fatty acids, C16-18, 2-hydroxyethyl esters",CAS without structure,TRUE,TRUE,Fatty acid esters,subclass,subset,high,Fatty acid esters,0.8183297930046239,TRUE
"(1,1,3,3-tetramethylbutyl)-phenyl-polyethylenglycol",CAS without structure,TRUE,TRUE,Polyethylene glycols,direct_parent,subset,medium,NA,NA,FALSE
"Palm oil, epoxidized",CAS without structure,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
241 AJG,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
glutamyl endopeptidase,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"reaction products of benzaldehyde diethylenetriamine and triethylenetetramine, hydrogenated",CAS without structure,TRUE,TRUE,Amines,subclass,subset,low,NA,NA,FALSE
"Bis[ethyl-4,4,4-trihalo-3-substituted–kO-alkanoate-kO’]copper",Unclassified,TRUE,TRUE,Organometallic compounds,superclass,subset,low,NA,NA,FALSE
"(4S)-3-carbamoyl-4-(4-cyano-2-methoxyphenyl)-5-ethoxy-2,8-dimethyl-1,4-dihydro-1,6-naphthyridin-1-ium (2S,3S)-2,3-bis(benzoyloxy)-3-carboxypropanoate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Trisodium [2-(5-chloro-2,6-difluoropyrimidin-4-ylamino)-5-(b-sulfamoyl-c,d-sulfonatophthalocyanin-a-yl-K4,N29,N30,N31,N32-sulfonylamino)benzoato(5-)]cuprate(II) where a=1,2,3,4 b=8,9,10,11 c=15,16,17,18 d=22,23,24,25",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Poly(1-acetyloxyethyl)-poly-2-(1-hydroxyethyl)-poly-2-[4-[(4-methyl-1,3-dioxolan-2-yl)styryl]-N-methylpyridiniummethylsulfate]",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"(2S,3S)-2,3-Dihydroxysuccinic acid - (2S)-N-(2,6-dimethylphenyl)-1-propyl-2-piperidinecarboxamide (1:2)",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Bismuth 12-hydroxystearate,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
C12-15 Alkyl Fumarate,CAS without structure,TRUE,TRUE,Carboxylic acid esters,direct_parent,subset,medium,NA,NA,FALSE
(2S)-2-hydrazinyl-3-[4-hydroxy-3-(substituted)phenyl]-2-alkylpropanoic acid,Unclassified,TRUE,TRUE,Alpha amino acids and derivatives,direct_parent,subset,medium,NA,NA,FALSE
"Tall oil, maleated",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Zirconium oxide, erbium and yttrium doped",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Nonylphenol, branched and linear, ethoxylated (with 352 g/mol ≤ average molecular weight < 704 g/mol)",Unclassified,TRUE,TRUE,Phenol ethers,class,subset,medium,NA,NA,FALSE
Tetrakis(bis(2-ethylhexyl)ammonium)molybdate(VI),Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Mixed triesters of 2,2-bis(hydroxymethyl)butanol with C7-alkanoic acids and 2-ethylhexanoic acid",Unclassified,TRUE,TRUE,Carboxylic acid esters,direct_parent,subset,medium,NA,NA,FALSE
R0932,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Sulfonic acids, C14-18-alkane hydroxy and C12-20-alkapolyene and C14-18-alkene and C12-20-alkene hydroxy, sodium salts",CAS without structure,TRUE,TRUE,Organic sulfonic acids and derivatives,superclass,subset,medium,NA,NA,FALSE
"Silver zeolite (Zeolite, LTA framework type, ion exchanged with silver and ammonium ions)",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Octanoic acid, esters with anhydrosorbitol and dianhydrosorbitol",Unclassified,TRUE,TRUE,Fatty acid esters,subclass,subset,medium,NA,NA,FALSE
MK1 Diesel Fuel,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
alkaline distillation residues from epsilon-caprolactam,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
2-hydroxy-5-(1-hydroxy-2-((4-phenylbutan-2-yl)amino)ethyl)benzamide acetate,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"phosphourous acid, mixed 4-isononylphenyl and lauryl and tridecyl triesters",CAS without structure,TRUE,TRUE,Organic phosphite salts,class,subset,low,NA,NA,FALSE
Oleic acid 2-oleoyloxy-1-alkyl ester,Unclassified,TRUE,TRUE,"1-alkyl,2-acylglycerols",direct_parent,subset,low,NA,NA,FALSE
Anthraquinone acid dye,Unclassified,TRUE,TRUE,Anthraquinones,subclass,subset,high,NA,NA,FALSE
KE 2627,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Coal tar|Tar, coal|[The by-product from the destructive distillation of coal. Almost black semisolid. A complex combination of aromatic hydro-carbons, phenolic compounds, nitrogen bases and thiophene.]",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Myristica fragrans, ext.",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Amorphophallus campanulatus dry purified extract,Unclassified,TRUE,NA,NA,NA,NA,low,NA,NA,FALSE
"{Bis[1-ethyl-4,4,4-trihalo-3-substituted–kO-alkanoate-kO]}zinc",Unclassified,TRUE,TRUE,Organic metal salts,class,subset,medium,NA,NA,FALSE
"Anatase, rutile, disodium hexatitanate and sodium tetratitanate",Unclassified,TRUE,TRUE,Inorganic salts,superclass,subset,low,NA,NA,FALSE
Essential oil of Eucalyptus globulus (Myrtaceae) obtained from leaves and branches by distillations,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Sodium hydrogen substituted amino acid,CAS without structure,TRUE,TRUE,Amino acids and derivatives,subclass,subset,medium,NA,NA,FALSE
"Betaines, coco alkyldimethyl(3-sulfopropyl)",CAS without structure,TRUE,TRUE,Quaternary ammonium salts,subclass,subset,medium,NA,NA,FALSE
"Juniper, Juniperus oxycedrus, ext.",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"coconut oil, reaction products with glycerol esters of 3,5-bis(1,1-dimethylethyl)-4-hydroxybenzenepropanoic acid",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"N,N‘-di-C16-18 (even numbered) and C18-unsatd. alkyl[1,2-ethanediylbis(amino-3,1-propanediyl)]diamines",Unclassified,TRUE,TRUE,Amines,subclass,subset,low,NA,NA,FALSE
"Reaction products of 3-amino-4-hydroxybenzenesulfonic acid with 2,5-Dimethoxyaniline , condensed with 4, 4'-dinitrostilbene-2,2'-disulfonic acid, chelated with copper, sodium salt.",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Condensation products of N-(2-aminoethyl)octadecanamide and N-(2-aminoethyl)hexadecanamide with sebacic acid,Unclassified,TRUE,TRUE,Carboxylic acid amides,direct_parent,subset,medium,NA,NA,FALSE
4-tert-butyl-benzoic acid 1-(4-methoxy-phenyl)-vinyl ester,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"[17ß-17-hydroxy-3-methoxy-estra-2,5(10)-dien-17-yl]acetonitrile",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Jojoba, ext., hydrogenated",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"1-[(2S,3S)-2-(benzyloxy)pentan-3-yl]-N-{4-[4-(4-hydroxyphenyl)piperazin-1-yl]phenyl}hydrazine-1-carboxamide",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Cinnamomum cassia oil,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"C6 sugars residues concentrated extract from hardwood by steam explosion, acidic and enzymatic hydrolysis",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Benzenesulfonic acid, 4-C10-13-sec-alkyl derivs.",CAS without structure,TRUE,TRUE,Benzenesulfonic acids and derivatives,subclass,subset,high,NA,NA,FALSE
sunflower oil fatty acids,CAS without structure,TRUE,TRUE,Fatty acids and conjugates,subclass,subset,high,NA,NA,FALSE
"terpenic resins from dipentene, alfapinene, betapinene",Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"Mentha arvensis, Labiatae, extract",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
FTC-ME,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
BUTAMINE HCl,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
[(1E)-7-methyl-5-oxo-1-phenyloct-1-en-3-yl]malonic acid,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
3940W92,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Sodium salts of [[(phosphonomethyl)imino]bis[ethane-2,1-diylnitrilobis(methylene)]]tetrakisphosphonic acid (1-3 Na:1)",Unclassified,TRUE,TRUE,Organic phosphonic acids and derivatives,class,subset,medium,NA,NA,FALSE
"(6R,7R)-3-[[(Aminocarbonyl)oxy]methyl]-7-[[(2Z)-2-furanyl(methoxyimino)acetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-en-2-carboxylic acid, 1-butylammonium salt",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"1-naphthalenesulfonic acid, 5-[(4-hydroxyphenyl)amino]-8-(phenylamino)-, reaction products with sodium sulfide (Na2(Sx)), leuco derivatives",CAS without structure,TRUE,TRUE,Organosulfur compounds,superclass,subset,low,NA,NA,FALSE
"Castor oil, oligomeric reaction products with maleic anhydride",CAS without structure,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
Plant oils / Eucalyptus oil,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Gallium hydroxy-[29H,31H-phthalocyaninate (2-)N29,N30, N31, N32]",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Purpureocillium lilacinum PL 11,Unclassified,TRUE,NA,NA,NA,NA,low,NA,NA,FALSE
"N,N-dibutyloleamide and oleic acid, sulphated, sodium salts",Unclassified,TRUE,TRUE,Fatty amides,subclass,broader,low,NA,NA,FALSE
"Sulfonation products of (N-phenyl-4-[[4-(phenylamino)phenyl][4-(phenylimino)cyclohexa-2,5-dien-1-ylidene]methyl]aniline, monohydrochloride and 4,4'-[(4-iminocyclohexa-2,5-dien-1-ylidene)methylene]bis[N-phenylaniline], monohydrochloride), sodium salts",Unclassified,TRUE,TRUE,Organic salts,superclass,subset,low,NA,NA,FALSE
DUROFTAL VPE 6104,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Chromium tin calcium silicon sphene,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Hexafluoropropene, oxidized, oligomers, reduced, fluorinated",CAS without structure,TRUE,TRUE,Organofluorides,class,subset,medium,NA,NA,FALSE
"Low boiling point naphtha - unspecified|Hydrocarbons, C<sub>6-8</sub>, hydrogenated sorption-dearomatized, toluene raffination|[A complex combination of hydrocarbons obtained during the sorptions of toluene from a hydrocarbon fraction from cracked gasolin",Mixture,TRUE,TRUE,Hydrocarbons,superclass,subset,medium,NA,NA,FALSE
"Fatty acids, C8-10-(even numbered), diesters and triesters with trimethylolpropane",Unclassified,TRUE,TRUE,Carboxylic acid esters,direct_parent,subset,medium,NA,NA,FALSE
Dimethicodiethylbenzalmalonate,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Slimes and Sludges, copper electrolytic",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Fatty acids, C14-18 and C16-18-unsatd., mixed esters with castor oil, castor oil fatty acids, 2-ethylhexanoic acid and 2,2-bis(hydroxymethyl)-1-butanol",CAS without structure,TRUE,TRUE,Fatty acid esters,subclass,subset,medium,NA,NA,FALSE
"4,4'-Methylenediphenyl diisocyanate, oligomers",CAS without structure,TRUE,TRUE,Isocyanates,subclass,subset,medium,NA,NA,FALSE
"Fatty acids, C16 and C18-unsatd., polymers with bisphenol A, Bu glycidyl ether, epichlorohydrin and triethylenetetramine",CAS without structure,TRUE,TRUE,Organic Polymers,superclass,subset,medium,NA,NA,FALSE
Plant oils / Ylang-Ylang oil,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
hydrogenated homopolymers and/or copolymers of 1-decene and/or 1-dodecene and/or 1-octene,Unclassified,TRUE,TRUE,Organic Polymers,superclass,subset,medium,NA,NA,FALSE
"Fatty acids, C16-18 (even numbered) saturated and C16-20 (even numbered) unsaturated, lithium salts",Unclassified,TRUE,TRUE,Fatty acids and conjugates,subclass,subset,high,NA,NA,FALSE
"L-norvaline, fermentation products",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Glycerides, C12-18 mono- and di-",CAS without structure,TRUE,TRUE,Glycerolipids,class,subset,high,NA,NA,FALSE
"Lubricating oils, used, vacuum distd.",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
ENS 123/NT-4,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Perfluorohexane-1-sulphonic acid and its salts,Substance group,TRUE,TRUE,Perfluoroalkyl sulfonic acid and derivatives,subclass,subset,high,NA,NA,FALSE
5-chloro-3-methyl pentenyl acetate,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
BASIC BLUE 7.1,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
A mixture of: pentaerythriol tetraesters with heptanoic acid and 2-ethylhexanoic acid,Mixture,TRUE,TRUE,Carboxylic acid esters,direct_parent,subset,medium,NA,NA,FALSE
"Disodium 4,4'-diazidodibenzalacetone-2,2'-disulfonate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Vinasses, residue of fermentation containing biomass of bakers yeast, salt-enriched",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
CW507L-DW (CuZn36),Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
METOCENE CHEMICAL CO1,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"formaldehyde-1-naphthol, copolymer",CAS without structure,TRUE,TRUE,Phenols,class,subset,low,NA,NA,FALSE
"phenol, 2-dodecyl-, branched",Unclassified,TRUE,TRUE,Phenols,class,subset,high,NA,NA,FALSE
"Gasoil - unspecified|Gas oils, hydrotreated|[A complex combination of hydrocarbons obtained from the redistillation of the effluents from the treatment of paraffins with hydrogen in the presence of a catalyst. It consists predominantly of hydrocarbons hav",Mixture,TRUE,TRUE,Hydrocarbons,superclass,subset,medium,NA,NA,FALSE
"((1S,2R)-2-(aminomethyl)-2-(naphthalen-2-yl)cyclopropyl)methanol compound with 4-methylbenzenesulfonic acid (1:1)",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"glycerol monopalmitate, ester with citric acid",Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"Bis and tris and tetra (4-{bis[4-(dimethylamino)phenyl]methylene}-N,N-dimethylcyclohexa-2,5-dien-1-iminium) [12,21-dihydro-29H,31H-phthalocyanine-bis and tris and tetrasulfonato-k4N29,N30,N31,N32]cuprate",Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"Plumbylium, diethylmethyl-",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Lead, decanoate octanoate complexes",CAS without structure,TRUE,TRUE,Organolead compounds,subclass,subset,medium,NA,NA,FALSE
"distearic acid, diester with glycerol",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Electrolytes, copper-manufg., spent",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Nickel, bis[(2-phenyldiazenecarbothioic acid-κS) 2-phenylhydrazidato-κN2]-",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"4-acetyloxy-5β,20-epoxy-1,2α,4,7β,10β,13α-hexahydroxy-9-oxotax-11-en-2-yl benzoate",Unclassified,TRUE,NA,NA,NA,NA,low,NA,NA,FALSE
"Quaternary ammonium compounds, di-C12-18-alkyldimethyl, chlorides",CAS without structure,TRUE,TRUE,Alkyldimethylbenzylammonium chlorides,subclass,subset,low,NA,NA,FALSE
"Aromatic hydrocarbons, C<sub>20-28</sub>, polycyclic, mixed coal-tar pitch-polyethylene-polypropylene pyrolysis-derived|Pyrolysis Products|[A complex combination hydrocarbons obtained from mixed coal tar pitch-polyethylene-polypropylene pyrolysis. Compose",Mixture,TRUE,TRUE,Polycyclic hydrocarbons,class,subset,medium,NA,NA,FALSE
"diatomaceous earth, soda ash flux-calcined",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Hydrocotyle asiatica, ext.",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
POLYAMIC ACID POLYMER R,CAS without structure,TRUE,TRUE,Organic Polymers,superclass,subset,medium,NA,NA,FALSE
REACTIVE BLUE 9605,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"1,3-bis(4-benzoyl-3-hydroxyphenoxy)prop-2-yl acetate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Stoddard solvent,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Balsams, gurjun",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Fusel oil, distn. residues",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Neodymium fluoride oxide, magnesium-doped",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
sodium-alpha-C11-alcohol-heptaglycol ether-omega-sulfate,CAS without structure,TRUE,TRUE,Organic sulfate salts,superclass,subset,medium,NA,NA,FALSE
"Linseed oil, lead manganese salt",CAS without structure,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"Fatty acids, C8-10, oxybis(2-hydroxy-3,1-propanediyl) esters",CAS without structure,TRUE,TRUE,Fatty acid esters,subclass,subset,medium,NA,NA,FALSE
Tolylphtalam (ISO: N-m-tolylphthalamic acid),Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Reaction products of Sodium hypophosphite, Propylene, Ethylene with Aluminum sulfate",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
DICYCLOPENTADIENBISNAPHTHOCHINONDIAZIDSULFONSÄUREMETHYLESTER,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"Arsenenous acid, cobalt(2+) salt",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Hydrocarbons, C4-12, naphtha-cracking, hydrotreated",Mixture,TRUE,TRUE,Hydrocarbons,superclass,subset,medium,NA,NA,FALSE
Triethoxysilylpropyl Dibenzoyl Resorcinol,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Reaction products of 2,7-Naphthalenedisulfonic acid, 5-[[4-chloro-6-(ethylphenylamino)-1,3,5-triazin-2-yl]amino]-4-hydroxy-3-[(1-sulfo-2-naphthaleny)azo]-, trisodium salt and lithium chloride",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"(1S,3S,5R,6R)-(4-nitrophenylmethyl)-1-dioxo-6-phenylacetamido-penam-3-carboxylate",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"(4aR*, 8aR*)-1-bromo-4a,5,9,10,11,12-hexahydro-3-methoxy-6H-benzofuro[3a,3,2-ef] [2]benzazepin-6-one hydrochloride (1:1)",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Benzeneacetic acid, α,4-dicyano-2,3,5,6-tetrafluoro-, ethyl ester, ion(1-), potassium",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Japan wax,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Hydrocarbons, C4, butane conc., n-butene-contg.",CAS without structure,TRUE,TRUE,Hydrocarbons,superclass,subset,high,NA,NA,FALSE
"Cement, purification of copper electrolyte",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Reaction Products of (3-Glycidyloxypropyl)triethoxysilane and Propyltriethoxysilane with water,Unclassified,TRUE,TRUE,Organosilicon compounds,subclass,subset,medium,NA,NA,FALSE
