substance_name,substance_uri,predicate,equivalent_node,chemont_uri,relationship_type,equivalent_level,confidence,entity_type
"Glycerides, C16-18 mono- and di-",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/58fcda5f61cd1a31d59c2b965631ebaf,skos:broadMatch,Glycerolipids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000175,subset,class,high,CAS without structure
"Fatty acids, C16-18",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/727ff0e3548c5ac3e377f8fcae0d9aa3,skos:broadMatch,Fatty acids and conjugates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000262,subset,subclass,high,CAS without structure
"Alkenes, C15-16",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/336151bd5456ae5e320837ceffe711f4,skos:broadMatch,Alkenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002501,subset,subclass,high,Unclassified
"Nickel, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, sulfo [[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]amino]sulfonyl derivs.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/3a83da0f6d25fdf3f719dc9564b0d23e,skos:broadMatch,Phthalocyanines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004188,subset,subclass,high,CAS without structure
"Fatty acids, coco, 2-ethylhexyl esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/375915e65a47d914df8579cd77b410df,skos:broadMatch,Fatty acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000324,subset,subclass,high,CAS without structure
"Rhamnolipids: fermentation products of glucose with Pseudomonas putida, Pseudomonacae, partially neutralized, sodium salts",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b56d06e268c40148e904dcb46b2ac453,skos:broadMatch,Rhamnolipids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001765,subset,level 5,high,CAS without structure
"trialkylboranes, solid",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f9a996c2a65996f48acfcb4b31f4275f,skos:broadMatch,Trialkylboranes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004575,subset,subclass,high,Unclassified
"Benzene, C15-16-alkyl derivs.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/aa5b278796d1c9bbf321015602809900,skos:broadMatch,Benzene and substituted derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002279,subset,class,high,Unclassified
"1,2-Benzenedicarboxylic acid, di-C9-11-branched and linear alkyl esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/572b7adb5f729dcf56b05041171d525e,skos:broadMatch,Phthalic acid and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001105,subset,level 5,high,CAS without structure
"Hydrocarbons, C11-14, n-alkanes, isoalkanes, <2% aromatics",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/9434359356900ef9f4cd17c71a415bba,skos:broadMatch,Saturated hydrocarbons,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004474,subset,class,high,Unclassified
"Benzene, C20-24 (even numbered) sec-alkyl derivs.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/1eee6969875d8b6dab4c949e8e16c3a5,skos:broadMatch,Benzene and substituted derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002279,subset,class,high,Unclassified
Cresol,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/9e26c91ee8d4d60249a0f16150de73a2,skos:exactMatch,Cresols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001272,exact,subclass,high,CAS without structure
"Amides, C8-10 (even numbered), N-[3-(dimethylamino)propyl]",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c593e712fedaf25e3765fc6f7500131d,skos:broadMatch,Fatty amides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000331,subset,subclass,high,Unclassified
"Fatty alcohols, C12-18 (even numbered), manuf. of, destn. residues",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/eaccabe04517901829ba3a09b7cecda2,skos:broadMatch,Fatty alcohols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001334,subset,subclass,high,Unclassified
"Fatty acids, C8-18 and C18-unsatd.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/103f50e5b222668217ee5560c8d6402a,skos:broadMatch,Fatty acids and conjugates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000262,subset,subclass,high,CAS without structure
"Acid chlorides, C16-18 (even numbered)",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/81832966b4d613ba82c6084bd03aec37,skos:broadMatch,Acyl halides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002865,subset,class,high,Unclassified
"2,4(or 2,5)-xylenol",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/69cad30595e272ad60bf6a5fbaf15fde,skos:broadMatch,Xylenols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004212,subset,subclass,high,CAS without structure
"N-((3R,4R)-1-benzyl-4-alkylpiperidin-3-yl)-2-halogeno-N-alkyl-7H-pyrrolo[2,3-d]pyrimidin-4-amine",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/1047679df50785b4f4e18ce2f8b3db59,skos:broadMatch,Pyrrolopyrimidines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001799,subset,class,high,Unclassified
"Amides, C8-18 even numbered, N-[3-(dimethylamino)propyl]",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/21c5fcd4bbb93e04a9b539a88cbd1612,skos:broadMatch,Fatty amides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000331,subset,subclass,high,Unclassified
"Amides, C8-10 (even-numbered), N-hydroxyethyl",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d3e37e01a559a961dde09f2a3ef460fe,skos:broadMatch,Fatty amides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000331,subset,subclass,high,Unclassified
"Naphthalenesulfonic acid, butyl-, Me derivs., sodium salts",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/48e57ff8518dd5e798b26e6b76621031,skos:broadMatch,Naphthalene sulfonic acids and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003597,subset,subclass,high,CAS without structure
"1,2-benzenedicarboxylic acid, di-C6-10-alkyl esters or mixed decyl and hexyl and octyl diesters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/5b61c929100f8011fa731da60edf77e7,skos:broadMatch,Phthalate esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004009,subset,direct_parent,high,Unclassified
"Diphenylether, octabromo derivative C12H2Br8O",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/902550d65e902b1ef5a34c9e58644c5d,skos:broadMatch,Bromodiphenyl ethers,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001845,subset,subclass,high,Unclassified
polydimethylsiloxane,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/440a27cc809f3ac9974ef42792827519,skos:broadMatch,Siloxanes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004446,subset,direct_parent,high,CAS without structure
"Sophorolipids: fermentation products of glucose and fatty acids, C18 (unsaturated), glycerol esters with yeast Starmerella bombicola, partially hydrolysed, partially neutralised, sodium salts",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/8373ea4eaa5dcf9dc291f0c9bdec663b,skos:broadMatch,Sophorolipids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002201,subset,subclass,high,Unclassified
"Oxirane, mono[(C12-14-alkyloxy)methyl] derivs.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/ad6ad0d4c0476fff29eab7e00c53bc47,skos:broadMatch,Epoxides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000159,subset,class,high,CAS without structure
"Alcohols, C14-15-branched and linear",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c2a9f8af36bdc319a9c85caed4d3f16f,skos:broadMatch,Fatty alcohols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001334,subset,subclass,high,Unclassified
"1-Propanaminium, 3-amino-N-[2-[(2-hydroxyethyl)amino]-2-oxoethyl]-N,N-dimethyl-, N-C12-18 acyl derivs., chlorides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/a43a49de59800050cd72876648186941,skos:broadMatch,Quaternary ammonium salts,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000503,subset,subclass,high,CAS without structure
"phenols, butylated, isobutylated or octylated",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/48c616caf32f0f746e8c42aa06271fba,skos:broadMatch,Phenols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000134,subset,class,high,CAS without structure
Chlorinated paraffins with carbon chain lengths in the range C14-17 and chlorination levels at or exceeding 45 per cent chlorine by weight,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/280682f710ed85d799562c470dc031f2,skos:broadMatch,Organochlorides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001516,subset,class,high,Unclassified
"1,2-Benzenedicarboxylic acid, di-C8-10-branched alkyl esters, C9-rich",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/e20b73b01e6dd286e2838e79b9e19411,skos:broadMatch,Phthalic acid and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001105,subset,level 5,high,CAS without structure
perilla oil fatty acids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/e6434d478b935a20b3d6aeea10d14074,skos:broadMatch,Fatty acids and conjugates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000262,subset,subclass,high,Unclassified
chloroanilines (with exception of those specified elsewhere in this Annex),https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/5b3ccedc65494695d8e8d1416a1e157c,skos:broadMatch,Chloroanilines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004526,subset,subclass,high,Unclassified
organic compounds of mercury with the exception of those specified elsewhere in this Annex,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/027f66995cfef5aef79c2550dd3a6e28,skos:broadMatch,Organomercurial compounds,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000407,subset,subclass,high,Unclassified
"4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol and its salts",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/3ce402efe68b400fd1d6b7223ec67326,skos:broadMatch,Bisphenols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000143,subset,subclass,high,Substance group
"salts of hydrogen cyanide with the exception of complex cyanides such as ferrocyanides, ferricyanides and mercuric oxycyanide and those specified elsewhere in this Annex",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0edbb9326fa6880aa642b8f0e433131b,skos:broadMatch,Cyanide salts,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004026,subset,class,high,Unclassified
"Cadmium laurate, palmitate, stearate",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/867075bdbaef4ce6f8584ae109af575c,skos:broadMatch,Organic cadmium salts,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004075,subset,subclass,high,CAS without structure
"9,10-Anthracenedione, 1,4-diamino-, N,N'-mixed 2-ethylhexyl and hexyl and octyl derivs.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/65bdf997d18208ef29e6265f322f1f1f,skos:broadMatch,Anthraquinones,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000151,subset,subclass,high,CAS without structure
Perfluorononan-1-oic-acid and its sodium and ammonium salts,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/41edfc576273982078faa58b7861939c,skos:broadMatch,Perfluoroalkyl carboxylic acid and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003962,subset,direct_parent,high,Unclassified
"glycerol, esters with oleic acid",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/57bb7f3865880416f410218af479f22b,skos:broadMatch,Glycerolipids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000175,subset,class,high,Unclassified
"stannane, dioctyl-, bis (coco acyloxy) derivs.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/111a686734e94ebcf864caa9cf26d554,skos:broadMatch,Dialkyltin dicarboxylates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004085,subset,direct_parent,high,CAS without structure
palm oil fatty acids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d33ebdf97415b412f73b04c92ed814b7,skos:broadMatch,Fatty acids and conjugates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000262,subset,subclass,high,Unclassified
"Fatty acids, C14-18 and C16-18-unsatd., Me esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/18606cee6f713724cd4c24d587ebcece,skos:broadMatch,Fatty acid methyl esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003417,subset,subclass,high,CAS without structure
"Alkanes, C14-17, chloro",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2936365aa5e957c83d5e5680326cf868,skos:broadMatch,Alkyl chlorides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001026,subset,subclass,high,CAS without structure
"D-Glucose, reaction products with alcohols C16-18 (even numbered)",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/9be1661957e9d75ee99b1177f1acaf63,skos:broadMatch,Alkyl glycosides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002125,subset,direct_parent,high,Unclassified
"Sophorolipids: fermentation products of glucose and fatty acids, C18 (unsaturated), glycerol esters with yeast Starmerella Bombicola",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/ebc9930bdb2ec79b9c6c6b125afc0d8a,skos:broadMatch,Sophorolipids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002201,subset,subclass,high,Unclassified
fish oil fatty acids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/e83eda3faf0de106806e649059e77f33,skos:broadMatch,Fatty acids and conjugates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000262,subset,subclass,high,Unclassified
Polycyclic aromatic hydrocarbons (PAHs),https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c86a50cb00cc994157a9d48621e50b29,skos:broadMatch,Polycyclic hydrocarbons,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004149,subset,class,high,Unclassified
naphthalene sulfonates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f82efea6d09df8fd36b7013d4d699019,skos:exactMatch,Naphthalene sulfonates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003310,exact,subclass,high,Unclassified
"Fatty acids, sunflower-oil, conjugated",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2098a50ae94148af66d363c789933fbc,skos:broadMatch,Fatty acids and conjugates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000262,subset,subclass,high,CAS without structure
"Octadecanoic acid, C16-20-branched alkyl esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bf6c96043d4f92e83f07022a23cb990b,skos:broadMatch,Fatty acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000324,subset,subclass,high,CAS without structure
Alkenes C20+,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2ad19826f20c49743fc4e9168c97d81e,skos:broadMatch,Alkenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002501,subset,direct_parent,high,Unclassified
"fatty acids, tall oil",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/80d3ed741a124c922fbc8a40ecd72a8b,skos:broadMatch,Fatty acids and conjugates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000262,subset,subclass,high,CAS without structure
"Copper, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, aminosulfonyl sulfo derivs., sodium salts",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/dfdf2330b9d8fe33bbfb530d8fbed0e4,skos:broadMatch,Phthalocyanines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004188,subset,subclass,high,CAS without structure
"Carbamodithioic acid, bis(mixed 2-ethylhexyl and 2-methylbutyl and pentyl) derivs., antimony (3+) salts",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/518f04684162c518fc073b53eab04d24,skos:broadMatch,Dithiocarbamic acids and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003934,subset,class,high,CAS without structure
"Fatty acids, C16-18 and C18-unsatd., Bu esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f7617fdb88a012580634fdabca66b92f,skos:broadMatch,Fatty acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000324,subset,subclass,high,CAS without structure
Diaminotoluene,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/034aac935ae012d18713c869347b51c9,skos:exactMatch,Diaminotoluenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003965,exact,subclass,high,CAS without structure
PHENYLENEDIAMINE DYE,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/7207d4fe925c6b97a11f23fbd7cf56d1,skos:broadMatch,Phenylenediamines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004744,subset,subclass,high,Unclassified
"poly(oxy-1,2-ethanediyl), .alpha.-(4-hydroxybutyl)-.omega.-hydroxy",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/ccb593b62de73054e44beda09f94f2c3,skos:broadMatch,Polyethylene glycols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003338,subset,direct_parent,high,CAS without structure
Reaction products of boric acid and lithium hydroxide,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/38b4779da2440318acec4a6fee4074a0,skos:broadMatch,Alkali metal borates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000895,subset,subclass,high,Unclassified
